"filename", "language", "C++", "Markdown", "YAML", "JSON", "HTML", "Swift", "XML", "Dart", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\validate_email.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\visibility_checker.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\bottom_trailing\folder_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 13, 104
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\bottom_trailing\upgrade_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 16, 187
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\create_directory_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 13, 86
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\delete_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 2, 57
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\delete_selection_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 2, 58
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\rename_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 20, 138
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\rename_folder_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 12, 79
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\interact_dialog\sharing_dialog\add_password_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 21, 112
